ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
und,and
es,it
der,the
was,What
wir,we
er,he
zu,to
ein,a
in,in
mit,with
mir,me
den,the
wie,How
ja,Yes
auf,on
mich,me
so,so
eine,one
aber,but
hier,here
sind,are
für,for
von,from
haben,have
hat,has
dich,you
war,was
dass,that
wenn,if
an,to
da,there
nein,no
bin,am
noch,still
dir,you
nur,only
habe,have
ihr,her
sich,itself
einen,a
uns,us
hast,have
dem,dem
ihn,him
aus,out of
kann,can
gut,good
auch,also
schon,already
jetzt,now
im,in the
sein,be
mal,just
dann,then
meine,mine
als,as
um,to
mein,my
doch,but
bist,are
wird,becomes
keine,no
nach,after
alles,everything
man,man
oder,or
nichts,nothing
wo,where
werden,become
weiß,white
will,will
geht,goes
mehr,more
warum,Why
hab,have
ihnen,them
bitte,please
etwas,something
bei,at
muss,must
los,go
immer,always
oh,Oh
vor,before
mann,man
zum,for the
wieder,again
sehr,very
sehen,see
sagen,say
also,so
gehen,go
wer,who
alle,all
denn,because
machen,make
ihm,him
können,can
diese,this
komm,come
danke,Thanks
euch,you
einem,a
tun,do
einer,one
gibt,gives
nie,never
über,above
des,the
soll,should
kein,no
vielleicht,perhaps
weg,away
deine,your
wissen,knowledge
am,at
werde,become
leben,life
kommen,come
kommt,comes
müssen,must
viel,much
wirklich,really
frau,woman
hatte,had
heute,today
ok,OK
willst,want
dein,your
würde,would
tut,does
ihre,her
ganz,quite
zeit,time
bis,until
wollen,want
einfach,simply
macht,might
gott,God
zurück,back
nun,so
weil,because
damit,with it
dieser,this
kannst,can
wurde,became
gesagt,said
wäre,were
seine,his
wollte,wanted
zwei,two
hallo,Hello
meinen,mean
sicher,secure
weißt,you know
morgen,morning
ab,away
leid,sorrow
lassen,let
hey,hey
waren,were
zur,to
lass,let
geld,money
liebe,love
tag,day
leute,people
vater,father
genau,Exactly
sagte,said
hätte,would have
mach,do
raus,out
durch,through
lhr,lhr
könnte,could
schön,nice
wohl,probably
gesehen,seen
keinen,none
klar,clear
glaube,believe
her,her
okay,OK
mutter,mother
sag,say
dieses,this
nacht,night
besser,better
ohne,without
unsere,our
jemand,someone
sei,be
reden,talk
gerade,straight
ob,whether
gehört,heard
geh,go
möchte,want
dort,there
sagt,says
anderen,others
gemacht,made
hör,listen
sollte,should
selbst,himself
diesen,this
gute,good
dachte,thought
paar,couple
weiter,further
vom,from the
ins,into the
herr,Mr
wirst,will
geben,give
ordnung,order
passiert,happened
meiner,my
lange,long
gar,even
mädchen,girl
meinem,my
hören,hear
sieht,sees
daß,that
guten,good
hin,there
gleich,even
ach,Oh
diesem,this
freund,friend
seit,since
welt,world
musst,must
hause,house
natürlich,naturally
abend,evening
angst,fear
drei,three
recht,right
richtig,correct
viele,many
deinen,your
finden,find
wieso,how come
bleiben,remain
tot,dead
unter,under
junge,boy
haus,a house
rein,pure
essen,eat
davon,of that
nehmen,take
sollen,should
helfen,help
schnell,fast
machst,do
eines,one
andere,other
unser,our
warte,wait
wegen,because of
menschen,people
stimmt,TRUE
dafür,for that
darf,may
kinder,children
genug,enough
sonst,otherwise
ganze,whole
scheiße,shit
he,he
halt,stop
sollten,should
zusammen,together
gegen,against
jahre,years
erst,first
denke,think
steht,stands
habt,have
verdammt,damned
moment,moment
ihren,your
glauben,believe
bringen,bring
gib,give
seid,are
niemand,no one
warten,wait
brauchen,need
lhre,their
fragen,questions
arbeit,work
wann,When
heißt,is called
sprechen,speak
siehst,you
jeder,everyone
kam,came
sofort,immediately
getan,did
fertig,complete
kennen,know
einmal,once
sohn,son
halten,hold
dabei,included
hatten,had
männer,men
kind,child
jahren,years
beim,at the
seinen,his
mag,like
komme,come
allein,alone
bevor,before
bruder,brother
musik,music
wahr,TRUE
konnte,could
lieber,Dear
uhr,clock
kopf,head
sache,matter
gern,gladly
denken,think
brauche,need
ende,end
später,later
gehe,go
vergessen,forget
runter,down
fahren,drive
sieh,look
warst,were
stadt,city
namen,names
problem,problem
sehe,see
augen,eyes
gab,gave
dank,thanks to
sage,saw
würden,would
eins,one
daran,to it
dazu,in addition
egal,doesn't matter
frage,ask
weit,far
familie,family
sterben,die
könnten,could
jungs,guys
jeden,every
minuten,minutes
verstehe,understand
deiner,your
hilfe,help
beide,both
bald,soon
all,all
deinem,your
nimm,take
kleine,small
baby,baby
glück,happiness
freunde,friends
wusste,knew
verrückt,crazy
ruhig,quiet
land,country
darüber,about it
gefunden,found
tür,door
mache,make
seiner,his
wasser,water
auto,car
sah,saw
dies,this
eigentlich,actually
eure,your
ruhe,quiet
stehen,stand
hand,hand
ihrer,their
frauen,women
meinst,do you mean
töten,kill
fall,case
ging,went
polizei,police
vorbei,over
krieg,war
je,each
darauf,on it
vielen,many
letzte,last
lang,long
bisschen,a little
dran,your turn
hoch,high
kenne,I know
fast,almost
ganzen,entire
schau,look
sogar,even
spielen,play
wurden,became
hinter,behind
teufel,devil
dinge,things
keiner,none
mama,mama
spät,late
bekommen,receive
oben,above
name,name
hört,hears
hätten,have
bereit,ready
drin,inside
neue,new
kommst,come
woher,from where
ihrem,their
wagen,dare
arbeiten,work
verstehen,understand
jahr,year
tod,death
etwa,approximately
echt,real
seinem,his
geschichte,story
bringt,brings
braucht,needs
treffen,meet
toll,great
gerne,gladly
draußen,outside
fünf,five
lhnen,you
zimmer,room
job,job
nett,nice
weiss,white
the,the
spiel,game
verstanden,understood
miss,miss
große,size
anders,different
sorgen,care for
welche,which
einzige,only
art,art
liegt,lies
verloren,lost
ahnung,idea
vier,four
alter,age
gekommen,came
jemanden,someone
gehst,go
woche,week
kerl,guy
hi,hi
john,John
gestern,yesterday
wenig,few
bestimmt,certainly
kurz,short
überhaupt,at all
finde,find
darum,therefore
tage,days
erste,first
schwester,sister
schwer,difficult
suchen,seek
bleibt,remains
tochter,daughter
typ,type
guter,goods
gewesen,been
grund,reason
zeigen,show
film,film
schlecht,bad
schatz,treasure
deshalb,for this reason
holen,fetch
hoffe,hope
tu,do
sagst,say
bett,bed
muß,must
seite,page
gefällt,pleases
eben,even
lasst,let
gefallen,fallen
stunden,hours
herz,heart
wohin,where
trinken,drink
letzten,last
mensch,person
ersten,first
unten,below
gesicht,face
versuchen,attempt
wort,word
denen,those
verlassen,leave
endlich,finally
denkst,think
solltest,should
schlafen,sleep
ziemlich,quite
jack,Jack
dollar,dollar
arsch,ass
manchmal,sometimes
fest,firmly
wiedersehen,see you again
beste,best
kleinen,small
kriegen,get
läuft,running
wahrheit,truth
zwischen,between
niemals,never
bring,bring
unserer,our
nehme,take
allen,all
während,while
glaubst,do you believe
ding,thing
idee,idea
wollten,wanted
lässt,lets
musste,had
sachen,things
ah,uh
bleib,stay
kleiner,smaller
euer,your
nummer,number
sondern,rather
frei,free
oft,often
entschuldigung,excuse
wen,who
ernst,serious
alte,old
schule,school
ort,location
erzählt,told
anderes,other
new,new
alt,old
chance,chance
einige,some
bloß,just
entschuldigen,excuse
setzen,set
bedeutet,means
erzählen,tell
feuer,fire
pass,passport
würdest,would
schuld,fault
dad,dad
getötet,killed
jungen,young
drauf,on it
platz,place
wären,would be
tust,do
papa,papa
spaß,fun
versucht,tried
wichtig,important
besten,best
sorge,worries
kennst,do you know
lst,lst
hund,dog
blut,blood
hierher,here
reicht,suffices
alten,old
wär,would
glücklich,happy
brauchst,need
hände,hands
unseren,our
hättest,would have
kaum,barely
rede,speech
zuerst,first
stellen,place
beiden,both
falls,if
früh,early
wartet,waits
neuen,new
sechs,six
jede,every
freundin,girlfriend
lieben,love
teil,part
stunde,hour
langsam,slow
scheint,appears
früher,earlier
großen,large
waffe,weapon
telefon,phone
himmel,heaven
lernen,learn
you,you
äh,uh
zehn,ten
gedacht,thought
willkommen,welcome
frank,frank
luft,air
licht,light
hol,get
seht,look
menge,crowd
voll,full
überall,everywhere
tat,did
erde,earth
gebe,give
ruf,call
möglich,possible
spricht,speaks
könig,king
eltern,parents
außer,except
nächsten,next
ziehen,pull
wahrscheinlich,probably
wollt,wanted
dürfen,may
nennen,to name
falsch,incorrect
ehrlich,honest
irgendwas,something
nächste,next
wochen,weeks
meines,my
herren,men
straße,street
hm,Hm
heiraten,marry
stück,piece
sam,sam
doktor,doctor
neues,new
gegeben,given
kaffee,coffee
möchten,want
verstehst,do you understand
krank,sick
danach,thereafter
geworden,become
arzt,physician
schaffen,create
stelle,position
groß,large
wem,whom
hölle,hell
völlig,fully
weh,sore
fehler,mistake
drüben,over
harry,Harry
büro,office
captain,captain
rufen,call
irgendwie,somehow
eigenen,own
probleme,problems
allem,all
mr,Mr
wert,value
tue,do
buch,book
lebt,lives
scheiß,Shit
kaufen,buy
erinnern,remember
direkt,direct
laufen,run
george,george
trotzdem,despite it
schreiben,write
still,still
kleines,small
körper,body
retten,save
fand,found
unserem,our
solche,such
denkt,thinks
könnt,can
ln,ln
alleine,alone
sitzen,sit
höre,listen
millionen,millions
tagen,days
york,York
suche,search
vergiss,forget
gutes,good
leider,unfortunately
sagten,said
typen,types
schlüssel,key
tragen,carry
mund,mouth
worden,have
hält,holds
zwar,that is
bereits,already
leicht,light
spielt,plays
schiff,ship
hörst,do you hear
lhren,their
onkel,uncle
glaub,believe
verlieren,lose
großer,large
klingt,sounds
irgendwo,somewhere
zukunft,future
kennt,knows
plan,plan
schöne,beautiful
verschwinden,disappear
interessiert,interested
waffen,weapons
kämpfen,battle
party,party
bringe,bring
hinten,rear
setz,set
kumpel,buddy
wolltest,wanted
boden,floor
general,general
zeig,show
böse,evil
halte,hold
gegangen,gone
richtige,correct
liebling,darling
acht,eight
froh,glad
machte,made
jedes,each
hart,hard
vorsichtig,cautious
joe,joe
versuch,attempt
getroffen,met
mögen,like
zeug,things
damals,at that time
stimme,agree
gefühl,feeling
leuten,people
lesen,read
mist,Damn
zug,train
hattest,had
verdammte,damn it
geschäft,business
arschloch,asshole
rest,rest
mom,mom
de,de
aufhören,stop
könntest,could
klasse,class
lasse,let
boss,boss
erklären,explain
fliegen,fly
laden,load
stolz,proud
stark,strong
hasse,hate
wohnung,apartment
gebracht,brought
fort,continued
genauso,just as
mai,May
entschuldige,sorry
besonders,particularly
seien,be
tages,day
weniger,fewer
zieh,pull
ärger,aggravation
fühle,feel
schauen,look
idiot,idiot
schneller,faster
denk,think
geschafft,done
verzeihung,forgiveness
daddy,daddy
charlie,Charlie
tja,well
schicken,send
erwartet,expected
nachricht,news
findet,finds
funktioniert,functions
werd,will
stand,stand
traum,dream
sollst,You should
fallen,fall
wovon,of which
gefängnis,jail
aufs,on
hotel,hotel
krankenhaus,hospital
umbringen,kill
fällt,falls
redest,talk
weisst,you know
gottes,God
total,total
fenster,window
lebens,life
glaubt,believes
vorstellen,introduce
and,and
sinn,sense
ändern,change
versuche,try
heraus,out of here
heißen,be called
tanzen,dance
monate,months
lachen,laugh
kampf,battle
nachdem,after
arm,arm
wenigstens,at least
geschehen,happen
hörte,heard
kamen,came
passt,fits
liebt,loves
folgen,consequences
eher,rather
gefragt,asked
dumm,dumb
deswegen,because of this
solange,as long as
lustig,funny
starb,died
unmöglich,impossible
bild,picture
boot,boat
genommen,taken
dame,lady
führen,lead
unglaublich,incredible
vertrauen,trust
verletzt,injured
passieren,happen
cool,cool
meisten,most
tom,tom
vorher,previously
plötzlich,suddenly
angerufen,called
bewegung,movement
kümmern,take care
rüber,over
komisch,funny
paris,Paris
super,super
sieben,seven
erinnere,remember
lhrer,your
ne,no
rufe,call
bier,beer
augenblick,moment
herum,around
kalt,cold
wunderbar,wonderful
großartig,great
wahl,choice
auge,eye
fahr,drive
konnten,could
länger,longer
johnny,Johnny
tisch,table
rum,rum
antwort,answer
jedem,each
david,David
arme,poor
umgebracht,killed
schlimm,terrible
verheiratet,married
steh,stand
anrufen,call
worte,words
möchtest,would like
vorsicht,caution
hilf,help
bezahlt,paid
voller,full
links,left
sekunden,seconds
werdet,will
wärst,would be
liegen,lay
fühlen,feel
nochmal,again
armee,army
bitten,ask
gestorben,died
finger,finger
meinung,opinion
nimmt,takes
zahlen,pay
sicherheit,security
verkaufen,sell
gesprochen,spoken
wozu,for what reason
müde,tired
seele,soul
welcher,which
schießen,shoot
michael,Michael
arbeite,work
sitzt,sits
to,to
sonne,sun
damen,ladies
laß,let
bezahlen,pay
selber,himself
reise,trip
team,team
sobald,as soon as
meister,master
majestät,majesty
anfang,beginning
fangen,catch
außerdem,aside from that
geschrieben,written
sex,sex
hole,hole
kriegt,gets
